routes_id,lat,lng,routes_status_code,uber_pool_distance,uber_pool_duration,uber_pool_high_estimate,uber_pool_low_estimate,uber_x_distance,uber_x_duration,uber_x_high_estimate,uber_x_low_estimate,uber_pool_surge,uber_x_surge,radius
109,42.37034649021831,-71.1402691018353,200,1.33,360.0,8.0,5.0,1.33,360.0,8.0,5.0,,,1.0
110,42.37194779818855,-71.14063738225204,200,1.63,420.0,9.0,6.0,1.63,420.0,8.0,6.0,,,1.0
111,42.3735695,-71.14076065915047,200,1.61,420.0,9.0,6.0,1.61,420.0,8.0,6.0,,,1.0
112,42.375191201811454,-71.14063738225204,200,1.06,300.0,8.0,5.0,1.06,300.0,8.0,5.0,,,1.0
113,42.376792509781694,-71.1402691018353,200,1.1,300.0,9.0,6.0,1.1,300.0,9.0,6.0,,,1.0
114,42.37835328653389,-71.13966044924018,200,1.13,300.0,9.0,6.0,1.13,300.0,9.0,6.0,,,1.0
115,42.379853904394814,-71.13881907862617,200,1.48,360.0,9.0,6.0,1.48,360.0,9.0,7.0,,,1.0
116,42.38127549222418,-71.13775557071695,200,1.21,300.0,9.0,6.0,1.21,300.0,9.0,6.0,,,1.0
117,42.382600172730186,-71.13648329974154,200,1.35,360.0,9.0,6.0,1.35,360.0,9.0,7.0,,,1.0
118,42.383811287286896,-71.13501826524559,200,1.22,300.0,9.0,6.0,1.22,300.0,9.0,6.0,,,1.0
119,42.384893605426065,-71.13337889088804,200,1.37,360.0,9.0,6.0,1.37,360.0,9.0,7.0,,,1.0
120,42.3858335163691,-71.13158579275249,200,1.16,360.0,9.0,6.0,1.16,360.0,9.0,6.0,,,1.0
121,42.38661920019053,-71.12966152008845,200,1.19,300.0,9.0,6.0,1.19,300.0,9.0,6.0,,,1.0
122,42.387240776460466,-71.12763027174114,200,1.19,300.0,9.0,6.0,1.19,300.0,9.0,6.0,,,1.0
123,42.38769042849665,-71.12551759183708,200,1.31,360.0,9.0,6.0,1.31,360.0,9.0,7.0,,,1.0
124,42.38796250166383,-71.12335004855187,200,1.34,360.0,9.0,6.0,1.34,360.0,9.0,7.0,,,1.0
125,42.388053574484076,-71.12115490000002,200,1.41,360.0,9.0,6.0,1.41,360.0,9.0,7.0,,,1.25
126,42.39160170732306,-71.11895809162401,200,1.49,480.0,8.0,5.0,1.49,480.0,10.0,7.0,,,1.25
127,42.39138363681044,-71.11677897065739,200,1.75,540.0,10.0,7.0,1.75,540.0,11.0,8.0,,,1.25
128,42.39102213734275,-71.1146350821008,200,1.81,540.0,11.0,7.0,1.81,540.0,11.0,8.0,,,1.25
129,42.39052011950117,-71.11254368728439,200,1.86,540.0,9.0,6.0,1.86,540.0,11.0,8.0,,,1.25
130,42.38988162523817,-71.11052162488944,200,1.82,540.0,9.0,5.0,1.82,540.0,11.0,8.0,,,1.25
131,42.38911179533412,-71.10858517537339,200,1.9,540.0,9.0,6.0,1.9,540.0,11.0,8.0,,,1.25
132,42.38821682800676,-71.10674992988918,200,1.68,540.0,9.0,5.0,1.68,540.0,10.0,8.0,,,1.25
133,42.387203929006795,-71.10503066475431,200,1.71,540.0,9.0,5.0,1.71,540.0,10.0,8.0,,,1.25
134,42.38608125360136,-71.10344122248074,200,1.6,540.0,8.0,5.0,1.6,540.0,10.0,7.0,,,1.25
135,42.38485784091273,-71.10199440032308,200,1.66,540.0,9.0,5.0,1.66,540.0,10.0,8.0,,,1.25
136,42.3835435411405,-71.10070184724262,200,1.81,540.0,9.0,5.0,1.81,540.0,11.0,8.0,,,1.25
137,42.382148936253664,-71.09957397011678,200,1.79,660.0,9.0,6.0,1.79,660.0,11.0,8.0,,,1.25
138,42.38068525479073,-71.09861984994895,200,1.73,540.0,9.0,5.0,1.73,540.0,10.0,8.0,,,1.25
139,42.37916428145422,-71.09784716875377,200,1.44,420.0,8.0,5.0,1.44,420.0,10.0,7.0,,,1.25
140,42.37759826222711,-71.09726214770583,200,1.58,420.0,8.0,5.0,1.58,420.0,10.0,7.0,,,1.25
141,42.37599980577543,-71.09686949705069,200,1.52,480.0,8.0,5.0,1.52,480.0,10.0,7.0,,,1.25
142,42.374381781930644,-71.09667237818047,200,1.77,540.0,9.0,5.0,1.77,540.0,10.0,8.0,,,1.25
143,42.37275721806936,-71.09667237818047,200,1.47,420.0,8.0,5.0,1.47,420.0,10.0,7.0,,,1.25
144,42.371139194224575,-71.09686949705069,200,1.54,480.0,8.0,5.0,1.54,480.0,10.0,7.0,,,1.25
